IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ,PRAWDOPODOBIEŃSTWO_WYSTĄPIENIA
JAN,MĘŻCZYZNA,642450,0.059037741331528275
PIOTR,MĘŻCZYZNA,605021,0.05559821511112549
STANISŁAW,MĘŻCZYZNA,452828,0.041612487091093914
ANDRZEJ,MĘŻCZYZNA,409070,0.03759135939993505
PAWEŁ,MĘŻCZYZNA,400278,0.03678342131636933
JÓZEF,MĘŻCZYZNA,385961,0.03546776508998052
KRZYSZTOF,MĘŻCZYZNA,330548,0.030375604827852766
ADAM,MĘŻCZYZNA,280696,0.025794470917261517
TOMASZ,MĘŻCZYZNA,253941,0.02333582858038699
MAREK,MĘŻCZYZNA,249517,0.022929286487382582
MICHAŁ,MĘŻCZYZNA,235711,0.021660588445787006
JERZY,MĘŻCZYZNA,198287,0.018221521698816634
GRZEGORZ,MĘŻCZYZNA,196529,0.018059970839978085
WOJCIECH,MĘŻCZYZNA,190599,0.01751503534912905
MARCIN,MĘŻCZYZNA,189977,0.017457876854136117
ŁUKASZ,MĘŻCZYZNA,173649,0.01595742041322835
KAZIMIERZ,MĘŻCZYZNA,168807,0.015512466341273708
TADEUSZ,MĘŻCZYZNA,166821,0.015329963493916847
ANTONI,MĘŻCZYZNA,152540,0.014017615476241457
MARIAN,MĘŻCZYZNA,148819,0.013675675347835172
FRANCISZEK,MĘŻCZYZNA,147509,0.013555293308541373
JAKUB,MĘŻCZYZNA,136996,0.012589204469537003
ZBIGNIEW,MĘŻCZYZNA,134369,0.012347797128144015
ROBERT,MĘŻCZYZNA,129442,0.011895032007838249
JACEK,MĘŻCZYZNA,125673,0.011548680934480743
RYSZARD,MĘŻCZYZNA,124814,0.011469743398791143
MATEUSZ,MĘŻCZYZNA,120499,0.011073217826613474
HENRYK,MĘŻCZYZNA,119760,0.011005307653301932
MACIEJ,MĘŻCZYZNA,109391,0.010052451649151233
JANUSZ,MĘŻCZYZNA,108963,0.010013120723336159
KAROL,MĘŻCZYZNA,105567,0.009701046368037116
WŁADYSŁAW,MĘŻCZYZNA,101957,0.009369306549830538
MARIUSZ,MĘŻCZYZNA,98875,0.009086087126087413
RAFAŁ,MĘŻCZYZNA,97103,0.008923249741638089
DARIUSZ,MĘŻCZYZNA,89948,0.008265743259846378
ALEKSANDER,MĘŻCZYZNA,88158,0.008101251771040345
ROMAN,MĘŻCZYZNA,88117,0.008097484088894508
SEBASTIAN,MĘŻCZYZNA,84678,0.007781458262076662
STEFAN,MĘŻCZYZNA,71973,0.006613936270299766
ARTUR,MĘŻCZYZNA,69892,0.0064227034277269425
KAMIL,MĘŻCZYZNA,69682,0.006403405543565341
EDWARD,MĘŻCZYZNA,69374,0.006375101980128325
MIROSŁAW,MĘŻCZYZNA,68542,0.006298645600973789
DAWID,MĘŻCZYZNA,64564,0.005933088538141166
MIECZYSŁAW,MĘŻCZYZNA,63457,0.00583136112020358
SZYMON,MĘŻCZYZNA,62066,0.00570353561130459
DANIEL,MĘŻCZYZNA,62013,0.005698665192920948
SŁAWOMIR,MĘŻCZYZNA,61204,0.00562432239155554
MIKOŁAJ,MĘŻCZYZNA,60509,0.005560455584449287
WIESŁAW,MĘŻCZYZNA,58725,0.005396515463762157
JAROSŁAW,MĘŻCZYZNA,58360,0.005362973903195564
DOMINIK,MĘŻCZYZNA,57668,0.0052993827801487625
LESZEK,MĘŻCZYZNA,53151,0.004884294481301361
PATRYK,MĘŻCZYZNA,52867,0.004858196390339957
DAMIAN,MĘŻCZYZNA,52303,0.0048063677871630845
CZESŁAW,MĘŻCZYZNA,51906,0.004769885596629009
ZDZISŁAW,MĘŻCZYZNA,51241,0.00470877563011727
BOGDAN,MĘŻCZYZNA,50961,0.004683045117901801
WALDEMAR,MĘŻCZYZNA,47770,0.004389809173331941
WIKTOR,MĘŻCZYZNA,46799,0.004300579432756155
ZYGMUNT,MĘŻCZYZNA,46315,0.0042561024044979875
PRZEMYSŁAW,MĘŻCZYZNA,45505,0.004181667708446096
KONRAD,MĘŻCZYZNA,43063,0.003957260884052615
SYLWESTER,MĘŻCZYZNA,42580,0.0039128757504809306
EUGENIUSZ,MĘŻCZYZNA,39828,0.0036599815732774664
KACPER,MĘŻCZYZNA,39605,0.003639489058191575
ARKADIUSZ,MĘŻCZYZNA,39116,0.0035945525565009885
BOGUSŁAW,MĘŻCZYZNA,35262,0.0032403904347923576
BARTŁOMIEJ,MĘŻCZYZNA,35073,0.0032230223390469163
FILIP,MĘŻCZYZNA,33286,0.003058806534300335
ADRIAN,MĘŻCZYZNA,32966,0.0030294002346255137
KRYSTIAN,MĘŻCZYZNA,32697,0.0030046805639613668
MAKSYMILIAN,MĘŻCZYZNA,30908,0.002840280969841818
