IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ,PRAWDOPODOBIEŃSTWO_WYSTĄPIENIA
MARIA,KOBIETA,1479702,0.12713388442078896
ANNA,KOBIETA,897510,0.07711277852331233
KATARZYNA,KOBIETA,418035,0.03591697069669739
BARBARA,KOBIETA,405351,0.03482717951577495
EWA,KOBIETA,373445,0.03208586152314556
TERESA,KOBIETA,359295,0.030870113714090656
MAŁGORZATA,KOBIETA,333322,0.028638550615533546
ELŻBIETA,KOBIETA,314205,0.02699604525399979
MAGDALENA,KOBIETA,301698,0.025921461660512176
AGNIESZKA,KOBIETA,275903,0.023705192067962965
ZOFIA,KOBIETA,267079,0.02294704657912194
KRYSTYNA,KOBIETA,222025,0.019076071187661886
JOANNA,KOBIETA,199803,0.017166788656720677
JADWIGA,KOBIETA,196154,0.01685327178355874
MONIKA,KOBIETA,163808,0.014074149618774996
JANINA,KOBIETA,161251,0.013854455827414331
HELENA,KOBIETA,156076,0.01340982721173524
MARTA,KOBIETA,135282,0.011623236403149535
DOROTA,KOBIETA,133609,0.011479494630389898
DANUTA,KOBIETA,130126,0.011180240240358926
STANISŁAWA,KOBIETA,123236,0.010588261271850918
BEATA,KOBIETA,120034,0.01031315000085489
IRENA,KOBIETA,118968,0.01022156080195365
WERONIKA,KOBIETA,118233,0.010158410650741257
JOLANTA,KOBIETA,117906,0.010130315277344724
ALEKSANDRA,KOBIETA,115695,0.009940349312269078
KAROLINA,KOBIETA,111659,0.009593581951325926
URSZULA,KOBIETA,101773,0.008744190937875974
WIKTORIA,KOBIETA,98309,0.008446569000733487
GRAŻYNA,KOBIETA,96237,0.008268545717315693
HALINA,KOBIETA,87382,0.007507736752709249
ALICJA,KOBIETA,86366,0.007420443482461914
JULIA,KOBIETA,85459,0.007342515336680091
IWONA,KOBIETA,83761,0.007196625599593502
AGATA,KOBIETA,81266,0.006982258759763679
BOŻENA,KOBIETA,80632,0.006927786384432173
IZABELA,KOBIETA,79691,0.006846937007165695
MARIANNA,KOBIETA,78984,0.0067861925759994885
NATALIA,KOBIETA,78696,0.006761448026953
JÓZEFA,KOBIETA,77110,0.006625181170051157
KAZIMIERA,KOBIETA,76591,0.006580589430623631
JUSTYNA,KOBIETA,74527,0.006403253495790463
SYLWIA,KOBIETA,72956,0.006268275417484791
PAULINA,KOBIETA,68570,0.005891436555964308
PATRYCJA,KOBIETA,62132,0.005338292782487595
KINGA,KOBIETA,59087,0.0050766707274648255
RENATA,KOBIETA,58426,0.005019878550660211
WANDA,KOBIETA,57522,0.004942208160597622
ŁUCJA,KOBIETA,53079,0.0045604719404116895
EMILIA,KOBIETA,48703,0.004184492264621988
DOMINIKA,KOBIETA,48070,0.00413010580786356
ZUZANNA,KOBIETA,44764,0.00384605900526741
GABRIELA,KOBIETA,43576,0.0037439877404506446
STEFANIA,KOBIETA,42787,0.0036761979862920354
MARZENA,KOBIETA,41968,0.0036058306749410835
ANTONINA,KOBIETA,41614,0.0035754155000714415
WIESŁAWA,KOBIETA,40836,0.003508570850216691
EDYTA,KOBIETA,39151,0.003363798054580117
LUCYNA,KOBIETA,37481,0.003220314037539715
HANNA,KOBIETA,36256,0.0031150637855190603
EWELINA,KOBIETA,36084,0.0031002857909496295
LIDIA,KOBIETA,34634,0.002975703859986406
KLAUDIA,KOBIETA,34435,0.002958606063943867
ANIELA,KOBIETA,33878,0.0029107494187393733
WŁADYSŁAWA,KOBIETA,33427,0.002872000142281157
ANETA,KOBIETA,32807,0.0028187306269727443
BOGUMIŁA,KOBIETA,31624,0.002717088955021369
MARIOLA,KOBIETA,31559,0.0027115042477712935
KAMILA,KOBIETA,30970,0.0026608982082283014
OLIWIA,KOBIETA,29484,0.002533223208634267
GENOWEFA,KOBIETA,27877,0.002395152061697784
MIROSŁAWA,KOBIETA,26342,0.0022632670520229227
CECYLIA,KOBIETA,26020,0.0022356012714917794
SABINA,KOBIETA,26019,0.002235515352918701
FRANCISZKA,KOBIETA,25254,0.002169787644513966
HENRYKA,KOBIETA,25163,0.0021619690543638603
BRONISŁAWA,KOBIETA,24835,0.0021337877623942483
DARIA,KOBIETA,24792,0.0021300932637518906
ALINA,KOBIETA,24065,0.0020676304611241224
BOGUSŁAWA,KOBIETA,23466,0.0020161652358503496
REGINA,KOBIETA,23338,0.0020051676584963546
MAJA,KOBIETA,22888,0.001966504300611216
MICHALINA,KOBIETA,22666,0.0019474303773878811
CZESŁAWA,KOBIETA,22052,0.001894676373517937
RÓŻA,KOBIETA,21548,0.0018513734126865819
WIOLETTA,KOBIETA,21217,0.0018229343649977356
ANGELIKA,KOBIETA,20477,0.0017593546209199525
MARTYNA,KOBIETA,20162,0.0017322902704003556
ROZALIA,KOBIETA,19199,0.0016495506845261596
LAURA,KOBIETA,17473,0.0015012552273933842
AMELIA,KOBIETA,17345,0.0014902576500393893
BERNADETA,KOBIETA,16534,0.0014205776872730622
OLGA,KOBIETA,16093,0.0013826875965456265
ANASTAZJA,KOBIETA,15719,0.0013505540502144226
ZDZISŁAWA,KOBIETA,14875,0.0012780387745365187
LEOKADIA,KOBIETA,13751,0.0011814662983967508
KLARA,KOBIETA,13293,0.0011421155919269879
ILONA,KOBIETA,12920,0.001110067964168862
GERTRUDA,KOBIETA,12848,0.0011038818269072399
MIECZYSŁAWA,KOBIETA,12440,0.001068827049091381
SANDRA,KOBIETA,12387,0.0010642733647182425
ANITA,KOBIETA,12354,0.0010614380518066658
LENA,KOBIETA,12305,0.0010572280417258395
WIOLETA,KOBIETA,11458,0.0009844550103287012
EUGENIA,KOBIETA,11064,0.0009506030925359357
DAGMARA,KOBIETA,10604,0.0009110805489200164
MARLENA,KOBIETA,10327,0.0008872811041773868
NIKOLA,KOBIETA,10075,0.0008656296237617093
ELIZA,KOBIETA,9983,0.0008577251150385254
HONORATA,KOBIETA,9877,0.0008486177462922485
JAGODA,KOBIETA,9854,0.0008466416191114525
KORNELIA,KOBIETA,9660,0.0008299734159343039
SARA,KOBIETA,9452,0.0008121023527340622
BRYGIDA,KOBIETA,9368,0.000804885192595503
MILENA,KOBIETA,8997,0.0007730094019835333
CELINA,KOBIETA,8889,0.0007637301960911002
FAUSTYNA,KOBIETA,8870,0.0007620977432026165
KARINA,KOBIETA,8770,0.000753505885894808
LUDWIKA,KOBIETA,8251,0.0007089141464672817
DANIELA,KOBIETA,8118,0.0006974869762478964
MARCELINA,KOBIETA,7635,0.0006559883054511812
ADRIANNA,KOBIETA,7430,0.0006383749979701737
ROKSANA,KOBIETA,7387,0.0006346804993278161
RITA,KOBIETA,7323,0.0006291817106508186
MAGDA,KOBIETA,7084,0.0006086471716851562
LUIZA,KOBIETA,6964,0.000598336942915786
ALDONA,KOBIETA,6869,0.0005901746784733678
IZABELLA,KOBIETA,6745,0.0005795207754116853
JULIANNA,KOBIETA,6664,0.0005725613709923604
ŻANETA,KOBIETA,6568,0.0005643131879768642
MALWINA,KOBIETA,6407,0.0005504802977112925
NADIA,KOBIETA,6383,0.0005484182519574184
APOLONIA,KOBIETA,6370,0.0005473013105074034
LILIANA,KOBIETA,6329,0.0005437786490112018
NINA,KOBIETA,6307,0.0005418884404034839
MATYLDA,KOBIETA,6169,0.0005300316773187082
DIANA,KOBIETA,6127,0.0005264230972494286
WACŁAWA,KOBIETA,5879,0.0005051152911260635
JULITA,KOBIETA,5622,0.0004830342178449955
ELEONORA,KOBIETA,5613,0.00048226095068729276
PAULA,KOBIETA,5562,0.00047787910346031037
AURELIA,KOBIETA,5512,0.00047358317480640613
ROMANA,KOBIETA,5269,0.0004527049615484314
IGA,KOBIETA,5024,0.0004316549111443005
WALERIA,KOBIETA,4901,0.000421086926655696
VIOLETTA,KOBIETA,4880,0.0004192826366210562
FELICJA,KOBIETA,4762,0.0004091442449978422
ADRIANA,KOBIETA,4716,0.0004051919906362502
ELWIRA,KOBIETA,4659,0.00040029463197079935
PELAGIA,KOBIETA,4493,0.00038603214883983723
BERNADETTA,KOBIETA,4492,0.00038594623026675913
ADELA,KOBIETA,4355,0.00037417538575506144
BOŻENNA,KOBIETA,4202,0.0003610298440741144
KONSTANCJA,KOBIETA,4194,0.0003603424954894897
ANDŻELIKA,KOBIETA,4076,0.00035020410386627567
BLANKA,KOBIETA,3945,0.00033894877079304646
JUDYTA,KOBIETA,3833,0.0003293258906083009
POLA,KOBIETA,3785,0.0003252017991005528
LILIANNA,KOBIETA,3637,0.0003124858502849962
WALENTYNA,KOBIETA,3630,0.0003118844202734496
VICTORIA,KOBIETA,3578,0.0003074166544733892
ALFREDA,KOBIETA,3527,0.0003030348072464068
ESTERA,KOBIETA,3404,0.00029246682275780233
