IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ,PRAWDOPODOBIEŃSTWO_WYSTĄPIENIA
PIOTR,MĘŻCZYZNA,689313,0.032502042360966446
KRZYSZTOF,MĘŻCZYZNA,641406,0.030243162369747917
TOMASZ,MĘŻCZYZNA,536774,0.025309621733908116
ANDRZEJ,MĘŻCZYZNA,533141,0.025138320859127875
PAWEŁ,MĘŻCZYZNA,506006,0.02385886882577753
MICHAŁ,MĘŻCZYZNA,492093,0.023202852015753457
JAN,MĘŻCZYZNA,477845,0.022531039501613944
MARCIN,MĘŻCZYZNA,449607,0.021199579523071582
JAKUB,MĘŻCZYZNA,426709,0.020119907783264834
ADAM,MĘŻCZYZNA,401674,0.01893947359660827
ŁUKASZ,MĘŻCZYZNA,383582,0.018086411271663574
MAREK,MĘŻCZYZNA,378001,0.01782325955623596
MATEUSZ,MĘŻCZYZNA,377011,0.017776579714223178
GRZEGORZ,MĘŻCZYZNA,374820,0.017673271094172667
STANISŁAW,MĘŻCZYZNA,366180,0.017265883382061115
WOJCIECH,MĘŻCZYZNA,335311,0.015810368187018118
MARIUSZ,MĘŻCZYZNA,286869,0.013526262220570458
DARIUSZ,MĘŻCZYZNA,283981,0.013390089105688726
MACIEJ,MĘŻCZYZNA,267723,0.012623502366856595
RAFAŁ,MĘŻCZYZNA,261766,0.012342621741735239
ZBIGNIEW,MĘŻCZYZNA,261536,0.012331776929954493
ROBERT,MĘŻCZYZNA,259284,0.012225592077214305
KAMIL,MĘŻCZYZNA,251064,0.01183800793444151
SZYMON,MĘŻCZYZNA,240430,0.011336600419326435
DAWID,MĘŻCZYZNA,238566,0.011248710292546813
JERZY,MĘŻCZYZNA,236958,0.01117289091279272
JACEK,MĘŻCZYZNA,231162,0.010899601655917886
KACPER,MĘŻCZYZNA,228002,0.010750603372321532
JÓZEF,MĘŻCZYZNA,204623,0.00964825183048635
BARTOSZ,MĘŻCZYZNA,204121,0.00962458184999098
RYSZARD,MĘŻCZYZNA,201190,0.009486381226819805
TADEUSZ,MĘŻCZYZNA,198702,0.00936906865416546
ARTUR,MĘŻCZYZNA,196863,0.009282357311275049
JAROSŁAW,MĘŻCZYZNA,190644,0.008989123030994755
SEBASTIAN,MĘŻCZYZNA,185914,0.008766097119155908
SŁAWOMIR,MĘŻCZYZNA,184574,0.008702914302694162
DAMIAN,MĘŻCZYZNA,183944,0.008673208948686029
JANUSZ,MĘŻCZYZNA,180439,0.008507943447418552
PATRYK,MĘŻCZYZNA,179984,0.008486489580634901
MIROSŁAW,MĘŻCZYZNA,179134,0.008446410928401704
ROMAN,MĘŻCZYZNA,174905,0.008247007845702658
FILIP,MĘŻCZYZNA,170474,0.008038080189178783
DANIEL,MĘŻCZYZNA,170020,0.008016673473750699
ANTONI,MĘŻCZYZNA,169877,0.008009930829904408
KAROL,MĘŻCZYZNA,165749,0.007815290034117777
PRZEMYSŁAW,MĘŻCZYZNA,165702,0.00781307392040606
HENRYK,MĘŻCZYZNA,160865,0.007585002813521387
ALEKSANDER,MĘŻCZYZNA,154503,0.007285025889394802
ADRIAN,MĘŻCZYZNA,148895,0.007020601087366841
KAZIMIERZ,MĘŻCZYZNA,143008,0.0067430210571352775
WIESŁAW,MĘŻCZYZNA,136950,0.006457378145101507
FRANCISZEK,MĘŻCZYZNA,136096,0.006417110887446036
MIKOŁAJ,MĘŻCZYZNA,135118,0.006370996861700076
DOMINIK,MĘŻCZYZNA,134888,0.006360152049919329
ARKADIUSZ,MĘŻCZYZNA,133350,0.006287633265055027
MARIAN,MĘŻCZYZNA,128983,0.006081723295287533
BARTŁOMIEJ,MĘŻCZYZNA,125686,0.005926265275978298
WIKTOR,MĘŻCZYZNA,114841,0.005414908824838278
LESZEK,MĘŻCZYZNA,112775,0.005317494124233826
OLEKSANDR,MĘŻCZYZNA,112506,0.005304810409585909
KRYSTIAN,MĘŻCZYZNA,111386,0.005252000891349226
WALDEMAR,MĘŻCZYZNA,106227,0.005008747047971506
RADOSŁAW,MĘŻCZYZNA,103780,0.0048933676808954685
BOGDAN,MĘŻCZYZNA,94808,0.004470325718735186
IGOR,MĘŻCZYZNA,92562,0.00436442377412841
ZDZISŁAW,MĘŻCZYZNA,92444,0.00435885991417133
KONRAD,MĘŻCZYZNA,90609,0.004272337176703194
HUBERT,MĘŻCZYZNA,89347,0.004212832165975789
EDWARD,MĘŻCZYZNA,79225,0.0037355661449117697
MARCEL,MĘŻCZYZNA,77900,0.0036730905987835518
OSKAR,MĘŻCZYZNA,77197,0.0036399431958189198
MIECZYSŁAW,MĘŻCZYZNA,75622,0.0035656798107985845
WŁADYSŁAW,MĘŻCZYZNA,70920,0.0033439741369156546
MAKSYMILIAN,MĘŻCZYZNA,69948,0.003298143019303105
SERHII,MĘŻCZYZNA,68735,0.003240948424998555
ANDRII,MĘŻCZYZNA,68506,0.0032301507645733757
CZESŁAW,MĘŻCZYZNA,65077,0.003068468766329104
NIKODEM,MĘŻCZYZNA,65048,0.003067101377017618
MIŁOSZ,MĘŻCZYZNA,64993,0.0030645080524613526
VOLODYMYR,MĘŻCZYZNA,61938,0.002920460661199687
EUGENIUSZ,MĘŻCZYZNA,60543,0.002854684520181676
LEON,MĘŻCZYZNA,59412,0.0028013563370337404
BOGUSŁAW,MĘŻCZYZNA,59183,0.0027905586766085616
IRENEUSZ,MĘŻCZYZNA,59158,0.0027893798927193496
OLIWIER,MĘŻCZYZNA,57126,0.0026935683382042254
DMYTRO,MĘŻCZYZNA,56180,0.002648963155836456
STEFAN,MĘŻCZYZNA,55554,0.0026194464072505958
WITOLD,MĘŻCZYZNA,55400,0.002612185098493052
SYLWESTER,MĘŻCZYZNA,53517,0.0025233990959576294
IVAN,MĘŻCZYZNA,52751,0.002487281157592184
ALAN,MĘŻCZYZNA,51681,0.0024368292071339248
ZYGMUNT,MĘŻCZYZNA,50796,0.0023951002574558317
MAKSYM,MĘŻCZYZNA,47180,0.002224600955720256
CEZARY,MĘŻCZYZNA,46767,0.0022051274458704797
WŁODZIMIERZ,MĘŻCZYZNA,45993,0.0021686322966604863
IGNACY,MĘŻCZYZNA,44828,0.0021137009674232227
GABRIEL,MĘŻCZYZNA,43293,0.0020413236366256266
ZENON,MĘŻCZYZNA,41806,0.0019712095708953165
JULIAN,MĘŻCZYZNA,41697,0.0019660700731383538
MYKOLA,MĘŻCZYZNA,41309,0.0019477753471777886
NORBERT,MĘŻCZYZNA,39546,0.0018646475073105819
TYMON,MĘŻCZYZNA,39108,0.0018439952135715935
TYMOTEUSZ,MĘŻCZYZNA,37744,0.001779680764576205
VITALII,MĘŻCZYZNA,37237,0.0017557750273029925
YURII,MĘŻCZYZNA,35649,0.0016808986746602674
IHOR,MĘŻCZYZNA,35292,0.0016640656407223248
FABIAN,MĘŻCZYZNA,35069,0.0016535508884305567
VASYL,MĘŻCZYZNA,34722,0.001637189368048299
MYKHAILO,MĘŻCZYZNA,34583,0.001630635329624282
