IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ,PRAWDOPODOBIEŃSTWO_WYSTĄPIENIA
ANNA,KOBIETA,1072616,0.04774596640293861
KATARZYNA,KOBIETA,604753,0.026919714436551695
MARIA,KOBIETA,585573,0.026065944181764927
MAŁGORZATA,KOBIETA,577214,0.025693855257898267
AGNIESZKA,KOBIETA,547485,0.024370511362978776
BARBARA,KOBIETA,479955,0.021364510043596588
EWA,KOBIETA,476100,0.021192910234826882
MAGDALENA,KOBIETA,434573,0.019344395252004667
ELŻBIETA,KOBIETA,415199,0.018481989364818076
JOANNA,KOBIETA,404003,0.01798361544549625
KRYSTYNA,KOBIETA,403874,0.017977873195086057
ALEKSANDRA,KOBIETA,389719,0.017347783624882374
MONIKA,KOBIETA,377945,0.016823680862637358
ZOFIA,KOBIETA,369226,0.016435567053905042
TERESA,KOBIETA,327952,0.014598314004057858
NATALIA,KOBIETA,317133,0.014116721700275895
JULIA,KOBIETA,307602,0.013692462873457717
DANUTA,KOBIETA,296760,0.013209846757587115
KAROLINA,KOBIETA,294334,0.013101856839020239
MARTA,KOBIETA,289773,0.012898830450486221
BEATA,KOBIETA,280043,0.012465713423422863
DOROTA,KOBIETA,268289,0.011942500932559273
ALICJA,KOBIETA,252802,0.011253119288352669
HALINA,KOBIETA,238059,0.010596855739535083
JOLANTA,KOBIETA,236965,0.010548157894971124
IWONA,KOBIETA,232538,0.010351096324692655
JADWIGA,KOBIETA,231844,0.010320203907757201
GRAŻYNA,KOBIETA,228174,0.010156839109265677
PAULINA,KOBIETA,224066,0.009973977367520941
ZUZANNA,KOBIETA,224033,0.00997250841974159
HANNA,KOBIETA,222618,0.009909521719505756
JANINA,KOBIETA,217197,0.009668213661570457
JUSTYNA,KOBIETA,216718,0.009646891661985324
IRENA,KOBIETA,209399,0.00932109684995277
WIKTORIA,KOBIETA,205558,0.009150120231150062
BOŻENA,KOBIETA,198786,0.00884867434139949
RENATA,KOBIETA,187830,0.008360983678654765
URSZULA,KOBIETA,184392,0.008207946028187772
AGATA,KOBIETA,184049,0.00819267787399633
SYLWIA,KOBIETA,182453,0.0081216342177586
MAJA,KOBIETA,179730,0.008000423769177558
PATRYCJA,KOBIETA,169445,0.007542601711279649
HELENA,KOBIETA,163805,0.007291545181717743
EMILIA,KOBIETA,161496,0.007188763350732204
OLIWIA,KOBIETA,159830,0.007114603744659485
IZABELA,KOBIETA,159409,0.007095863532080484
ANETA,KOBIETA,151669,0.0067513285074689315
WERONIKA,KOBIETA,151315,0.006735570704017706
EWELINA,KOBIETA,148205,0.006597133504206087
MARTYNA,KOBIETA,142405,0.006338954803592779
KLAUDIA,KOBIETA,138825,0.0061795962263176685
GABRIELA,KOBIETA,134547,0.005989167177830818
LENA,KOBIETA,129748,0.005775546559857842
MARZENA,KOBIETA,129430,0.005761391244893181
AMELIA,KOBIETA,124228,0.005529831658584486
DOMINIKA,KOBIETA,122862,0.005469026123233145
KINGA,KOBIETA,120929,0.0053829813942183995
MARIANNA,KOBIETA,116193,0.005172165131096912
EDYTA,KOBIETA,114004,0.005074724928399924
KAMILA,KOBIETA,111270,0.004953024830559099
STANISŁAWA,KOBIETA,110249,0.004907576476537343
WIESŁAWA,KOBIETA,105001,0.00467396926605137
ALINA,KOBIETA,103334,0.00459976514640958
WANDA,KOBIETA,93097,0.004144079739827091
DARIA,KOBIETA,87225,0.003882696062240653
TETIANA,KOBIETA,86019,0.003829012697940713
LIDIA,KOBIETA,82647,0.0036789129430324246
MARIOLA,KOBIETA,81972,0.003648866283909324
NATALIIA,KOBIETA,81158,0.0036126322386853186
LUCYNA,KOBIETA,79828,0.003553429191820543
OLENA,KOBIETA,78551,0.0034965853641165437
NIKOLA,KOBIETA,77645,0.003456256070537982
MILENA,KOBIETA,76609,0.0034101400129801568
IRYNA,KOBIETA,75203,0.003347553934865965
LAURA,KOBIETA,73662,0.0032789585249271536
WIOLETTA,KOBIETA,72516,0.0032279459747714895
MIROSŁAWA,KOBIETA,69863,0.003109851476025437
ANTONINA,KOBIETA,69163,0.003078691977675555
ANGELIKA,KOBIETA,64906,0.002889197714139201
OLHA,KOBIETA,61285,0.0027280140805321686
OLGA,KOBIETA,61187,0.0027236517507631852
OKSANA,KOBIETA,59347,0.002641746783672067
MARIIA,KOBIETA,57362,0.0025533873490656157
MICHALINA,KOBIETA,56621,0.002520402794383812
SVITLANA,KOBIETA,56280,0.0025052236673305125
ILONA,KOBIETA,55045,0.0024502494095275064
BOGUMIŁA,KOBIETA,54726,0.0024360495809937744
KAZIMIERA,KOBIETA,54512,0.0024265236772125246
SANDRA,KOBIETA,54362,0.002419846641851836
ANASTASIIA,KOBIETA,53873,0.0023980795065759895
YULIIA,KOBIETA,53833,0.0023962989638131394
NADIA,KOBIETA,53066,0.002362157056335483
VIKTORIIA,KOBIETA,52563,0.0023397667310926388
KORNELIA,KOBIETA,50889,0.00226525101646735
GENOWEFA,KOBIETA,49147,0.002187708379145215
ŁUCJA,KOBIETA,48602,0.002163448484001378
MARLENA,KOBIETA,48545,0.002160911210564316
NINA,KOBIETA,47799,0.0021277040880371564
LILIANA,KOBIETA,47291,0.002105091194948956
POLA,KOBIETA,47272,0.0021042454371366023
IGA,KOBIETA,47261,0.0021037557878768186
BOGUSŁAWA,KOBIETA,47064,0.0020949866147697803
SABINA,KOBIETA,47013,0.002092716422747146
HENRYKA,KOBIETA,46236,0.002058129379578777
KATERYNA,KOBIETA,46116,0.0020527877512902257
ANITA,KOBIETA,45901,0.0020432173339399048
MARCELINA,KOBIETA,45648,0.002031955400964876
JÓZEFA,KOBIETA,43734,0.0019467564297624845
STEFANIA,KOBIETA,43069,0.0019171549063300966
JAGODA,KOBIETA,42947,0.001911724250903403
REGINA,KOBIETA,42300,0.0018829239717142977
LIUDMYLA,KOBIETA,40479,0.0018018647624355331
ANIELA,KOBIETA,39027,0.0017372310601440637
CZESŁAWA,KOBIETA,37835,0.0016841708858111217
KARINA,KOBIETA,37125,0.0016525662517705272
WŁADYSŁAWA,KOBIETA,36584,0.0016284844109029756
DIANA,KOBIETA,34697,0.001544487306065508
WIOLETA,KOBIETA,34362,0.0015295752604266358
ADRIANNA,KOBIETA,34309,0.001527216041265859
SARA,KOBIETA,32130,0.0014302209742595834
ROKSANA,KOBIETA,32047,0.001426526348026669
DAGMARA,KOBIETA,31786,0.0014149083064990701
HALYNA,KOBIETA,31088,0.0013838378352873306
MALWINA,KOBIETA,30418,0.0013540137440095864
MARYNA,KOBIETA,29058,0.0012934752900726728
SOFIIA,KOBIETA,28518,0.0012694379627741924
ELIZA,KOBIETA,28383,0.0012634286309495724
KLARA,KOBIETA,28144,0.0012527898879415413
VALENTYNA,KOBIETA,27509,0.0012245237715812912
ŻANETA,KOBIETA,27106,0.0012065848032455733
CECYLIA,KOBIETA,26431,0.0011765381441224728
KAJA,KOBIETA,26102,0.0011618931798980283
RÓŻA,KOBIETA,26035,0.0011589107707702538
NADIIA,KOBIETA,25945,0.0011549045495538406
BLANKA,KOBIETA,25870,0.001151566031873496
ZDZISŁAWA,KOBIETA,25440,0.0011324251971728543
ANASTAZJA,KOBIETA,24293,0.001081368133448119
LEOKADIA,KOBIETA,23536,0.0010476713616611752
OLEKSANDRA,KOBIETA,23297,0.0010370326186531441
BERNADETA,KOBIETA,22762,0.00101321785920002
JULITA,KOBIETA,21846,0.0009724434299307458
ROZALIA,KOBIETA,21165,0.0009421296893932177
BRONISŁAWA,KOBIETA,20991,0.0009343843283748185
EUGENIA,KOBIETA,20946,0.0009323812177666118
ALDONA,KOBIETA,20938,0.0009320251092140417
LILIANNA,KOBIETA,20799,0.0009258377231131365
INNA,KOBIETA,20637,0.0009186265249235924
VIOLETTA,KOBIETA,20622,0.0009179588213875236
DANIELA,KOBIETA,19442,0.0008654328098834368
LIUBOV,KOBIETA,19040,0.0008475383551167903
YANA,KOBIETA,18967,0.0008442888645745883
MAGDA,KOBIETA,18361,0.0008173136417174048
MATYLDA,KOBIETA,17850,0.0007945672079219909
CELINA,KOBIETA,17663,0.0007862431705056652
NELA,KOBIETA,17379,0.0007736013168894274
VERONIKA,KOBIETA,17001,0.0007567751877804911
LARYSA,KOBIETA,16522,0.0007354531881953576
ADRIANA,KOBIETA,16321,0.0007265059608120343
HONORATA,KOBIETA,15889,0.00070727609897325
VALERIIA,KOBIETA,15703,0.0006989965751259957
